change_number,revision_number,rbe_gcp_started,rbe_gcp_state,rbe_gcp_time_seconds,rbe_gcp_time_minutes,rbe_bb_started,rbe_bb_state,rbe_bb_time_seconds,rbe_bb_time_minutes
375374,32,2024-01-04 23:35:32.000000000,SUCCESSFUL,1069.0,17.82,2024-01-04 23:35:24.000000000,SUCCESSFUL,584.0,9.73
375374,34,2024-01-19 01:15:21.000000000,FAILED,441.0,7.35,2024-01-19 00:50:23.000000000,FAILED,138.0,2.3
375374,35,2024-01-19 01:56:12.000000000,FAILED,572.0,9.53,2024-01-19 01:30:24.000000000,FAILED,149.0,2.48
375374,36,2024-01-19 03:20:24.000000000,SUCCESSFUL,393.0,6.55,2024-01-19 03:20:30.000000000,SUCCESSFUL,287.0,4.78
403544,1,2024-01-18 17:10:26.000000000,SUCCESSFUL,1020.0,17.0,2024-01-18 17:10:28.000000000,SUCCESSFUL,620.0,10.33
403545,1,2024-01-18 17:10:25.000000000,SUCCESSFUL,761.0,12.68,2024-01-18 17:10:29.000000000,SUCCESSFUL,664.0,11.07
403542,1,2024-01-18 15:01:56.000000000,FAILED,680.0,11.33,2024-01-18 14:20:27.000000000,FAILED,539.0,8.98
403519,1,2024-01-18 13:24:19.000000000,FAILED,1550.0,25.83,2024-01-18 12:20:27.000000000,FAILED,713.0,11.88
403537,1,2024-01-18 11:20:24.000000000,SUCCESSFUL,1072.0,17.87,2024-01-18 11:20:26.000000000,SUCCESSFUL,436.0,7.27
403537,2,2024-01-18 11:30:21.000000000,SUCCESSFUL,1143.0,19.05,2024-01-18 11:30:28.000000000,SUCCESSFUL,203.0,3.38
403078,1,2024-01-16 15:05:22.000000000,SUCCESSFUL,1236.0,20.6,2024-01-16 15:05:32.000000000,SUCCESSFUL,446.0,7.43
403194,1,2024-01-17 16:15:27.000000000,SUCCESSFUL,1194.0,19.9,2024-01-17 16:15:28.000000000,SUCCESSFUL,735.0,12.25
247812,7,2024-01-17 16:15:30.000000000,SUCCESSFUL,1597.0,26.62,2024-01-17 16:15:29.000000000,SUCCESSFUL,4030.0,67.17
402778,1,2024-01-17 09:45:22.000000000,SUCCESSFUL,639.0,10.65,2024-01-17 09:45:27.000000000,SUCCESSFUL,187.0,3.12
402778,2,2024-01-17 09:55:21.000000000,SUCCESSFUL,566.0,9.43,2024-01-17 09:55:27.000000000,SUCCESSFUL,144.0,2.4
402778,3,2024-01-17 15:15:24.000000000,FAILED,438.0,7.3,2024-01-17 15:15:27.000000000,FAILED,90.0,1.5
403062,1,2024-01-16 17:00:27.000000000,SUCCESSFUL,886.0,14.77,2024-01-16 17:00:33.000000000,SUCCESSFUL,437.0,7.28
403062,2,2024-01-17 09:35:24.000000000,SUCCESSFUL,1111.0,18.52,2024-01-17 09:35:26.000000000,SUCCESSFUL,427.0,7.12
403257,1,2024-01-17 09:45:25.000000000,SUCCESSFUL,782.0,13.03,2024-01-17 09:45:30.000000000,SUCCESSFUL,200.0,3.33
403118,2,2024-01-16 17:45:26.000000000,SUCCESSFUL,524.0,8.73,2024-01-16 17:45:37.000000000,SUCCESSFUL,156.0,2.6
403118,3,2024-01-17 09:40:21.000000000,SUCCESSFUL,849.0,14.15,2024-01-17 09:40:26.000000000,SUCCESSFUL,145.0,2.42
403117,1,2024-01-16 17:15:23.000000000,SUCCESSFUL,472.0,7.87,2024-01-16 17:15:31.000000000,SUCCESSFUL,156.0,2.6
403117,2,2024-01-16 17:25:20.000000000,SUCCESSFUL,507.0,8.45,2024-01-16 17:25:38.000000000,SUCCESSFUL,159.0,2.65
403137,4,2024-01-16 17:35:23.000000000,SUCCESSFUL,702.0,11.7,2024-01-16 17:35:37.000000000,SUCCESSFUL,158.0,2.63
402597,1,2024-01-14 12:35:23.000000000,SUCCESSFUL,1058.0,17.63,2024-01-14 12:35:34.000000000,SUCCESSFUL,812.0,13.53
402597,2,2024-01-14 12:45:21.000000000,SUCCESSFUL,555.0,9.25,2024-01-14 12:45:34.000000000,SUCCESSFUL,212.0,3.53
402597,3,2024-01-15 07:05:24.000000000,SUCCESSFUL,467.0,7.78,2024-01-15 07:05:38.000000000,SUCCESSFUL,396.0,6.6
402597,4,2024-01-15 07:40:21.000000000,SUCCESSFUL,557.0,9.28,2024-01-15 07:40:37.000000000,SUCCESSFUL,157.0,2.62
402597,5,2024-01-15 17:10:24.000000000,SUCCESSFUL,1197.0,19.95,2024-01-15 17:10:33.000000000,SUCCESSFUL,526.0,8.77
402597,6,2024-01-15 18:45:26.000000000,SUCCESSFUL,552.0,9.2,2024-01-15 18:45:34.000000000,SUCCESSFUL,205.0,3.42
402597,7,2024-01-15 18:55:23.000000000,SUCCESSFUL,496.0,8.27,2024-01-15 18:55:30.000000000,SUCCESSFUL,147.0,2.45
402597,8,2024-01-15 19:00:22.000000000,SUCCESSFUL,470.0,7.83,2024-01-15 19:00:33.000000000,SUCCESSFUL,145.0,2.42
402597,9,2024-01-15 19:10:22.000000000,SUCCESSFUL,839.0,13.98,2024-01-16 07:25:34.000000000,SUCCESSFUL,375.0,6.25
402597,10,2024-01-16 07:50:20.000000000,SUCCESSFUL,1119.0,18.65,2024-01-16 07:50:35.000000000,SUCCESSFUL,537.0,8.95
402597,11,2024-01-16 09:45:21.000000000,SUCCESSFUL,545.0,9.08,2024-01-16 09:45:32.000000000,SUCCESSFUL,209.0,3.48
403077,1,2024-01-16 14:45:23.000000000,SUCCESSFUL,536.0,8.93,2024-01-16 14:45:42.000000000,SUCCESSFUL,205.0,3.42
403061,1,2024-01-16 14:10:24.000000000,SUCCESSFUL,912.0,15.2,2024-01-16 14:10:36.000000000,SUCCESSFUL,422.0,7.03
403060,1,2024-01-16 12:25:21.000000000,SUCCESSFUL,1021.0,17.02,2024-01-16 12:25:31.000000000,SUCCESSFUL,468.0,7.8
403058,1,2024-01-16 11:55:23.000000000,SUCCESSFUL,926.0,15.43,2024-01-16 11:55:37.000000000,SUCCESSFUL,422.0,7.03
403038,1,2024-01-16 11:10:21.000000000,SUCCESSFUL,1406.0,23.43,2024-01-16 11:10:36.000000000,SUCCESSFUL,475.0,7.92
399557,1,2023-12-26 23:54:48.000000000,SUCCESSFUL,4318.0,71.97,2023-12-28 23:28:41.000000000,RUNNING,,
399557,2,2024-01-15 14:45:55.000000000,SUCCESSFUL,6308.0,105.13,2024-01-15 14:47:23.000000000,SUCCESSFUL,3067.0,51.12
402839,1,2024-01-15 15:40:28.000000000,SUCCESSFUL,3687.0,61.45,2024-01-15 16:36:55.000000000,SUCCESSFUL,451.0,7.52
402838,1,2024-01-15 15:40:27.000000000,SUCCESSFUL,3380.0,56.33,2024-01-15 16:36:33.000000000,SUCCESSFUL,351.0,5.85
388225,5,2023-12-27 00:39:47.000000000,SUCCESSFUL,5871.0,97.85,2023-12-28 22:25:50.000000000,RUNNING,,
388225,6,2024-01-15 14:45:56.000000000,SUCCESSFUL,5688.0,94.8,2024-01-15 14:47:16.000000000,SUCCESSFUL,1327.0,22.12
388222,5,2023-12-27 00:39:31.000000000,SUCCESSFUL,3302.0,55.03,2023-12-28 22:00:51.000000000,FAILED,360.0,6.0
388222,6,2024-01-15 14:45:47.000000000,SUCCESSFUL,4046.0,67.43,2024-01-15 14:47:18.000000000,SUCCESSFUL,2468.0,41.13
388214,4,2023-12-27 00:39:53.000000000,SUCCESSFUL,5594.0,93.23,2023-12-28 22:25:54.000000000,RUNNING,,
